milis,breathing
1436875487472,1023
1436875487528,469
1436875487584,468
1436875487640,466
1436875487696,465
1436875487752,464
1436875487808,463
1436875487864,463
1436875487920,462
1436875487976,462
1436875488032,1022
1436875488088,462
1436875488144,462
1436875488200,462
1436875488256,1022
1436875488312,463
1436875488368,463
1436875488424,464
1436875488480,465
1436875488536,465
1436875488592,466
1436875488648,467
1436875488704,1023
1436875488760,468
1436875488816,469
1436875488872,469
1436875488928,471
1436875488984,471
1436875489040,472
1436875489096,473
1436875489152,474
1436875489208,475
1436875489264,476
1436875489320,478
1436875489376,479
1436875489432,480
1436875489488,1022
1436875489544,483
1436875489600,485
1436875489656,487
1436875489712,488
1436875489768,491
1436875489824,493
1436875489880,496
1436875489936,498
1436875489992,499
1436875490048,1023
1436875490104,505
1436875490160,508
1436875490216,510
1436875490272,512
1436875490328,515
1436875490384,517
1436875490440,520
1436875490496,521
1436875490552,522
1436875490608,525
1436875490664,526
1436875490720,528
1436875490776,529
1436875490832,530
1436875490888,532
1436875490944,532
1436875491000,534
1436875491056,1022
1436875491112,535
1436875491168,536
1436875491224,537
1436875491280,1022
1436875491336,539
1436875491392,539
1436875491448,541
1436875491504,541
1436875491560,542
1436875491616,543
1436875491672,543
1436875491728,544
1436875491784,544
1436875491840,545
1436875491896,545
1436875491952,545
1436875492008,544
1436875492064,544
1436875492120,543
1436875492176,542
1436875492232,541
1436875492288,540
1436875492344,539
1436875492400,537
1436875492456,536
1436875492512,1023
1436875492568,532
1436875492624,531
1436875492680,529
1436875492736,1023
1436875492792,526
1436875492848,524
1436875492904,523
1436875492960,520
1436875493016,519
1436875493072,1022
1436875493128,515
1436875493184,514
1436875493240,511
1436875493296,1022
1436875493352,508
1436875493408,505
1436875493464,503
1436875493520,500
1436875493576,498
1436875493632,496
1436875493688,492
1436875493744,1022
1436875493800,486
1436875493856,484
1436875493912,481
1436875493968,477
1436875494024,475
1436875494080,1023
1436875494136,469
1436875494192,468
1436875494248,466
1436875494304,1022
1436875494360,467
1436875494416,468
1436875494472,469
1436875494528,1022
1436875494584,470
1436875494640,470
1436875494696,470
1436875494752,1022
1436875494808,470
1436875494864,471
1436875494920,472
1436875494976,473
1436875495032,473
1436875495088,1022
1436875495144,474
1436875495200,474
1436875495256,474
1436875495312,1022
1436875495368,475
1436875495424,476
1436875495480,480
1436875495536,1022
1436875495592,484
1436875495648,488
1436875495704,489
1436875495760,1023
1436875495816,491
1436875495872,491
1436875495929,493
1436875495985,495
1436875496041,499
1436875496097,501
1436875496153,504
1436875496209,511
1436875496265,513
1436875496321,520
1436875496377,523
1436875496433,527
1436875496489,533
1436875496545,536
1436875496601,541
1436875496657,543
1436875496713,545
1436875496769,549
1436875496825,551
1436875496881,556
1436875496936,558
1436875496992,560
1436875497048,564
1436875497104,1022
1436875497160,570
1436875497216,571
1436875497272,573
1436875497328,576
1436875497384,578
1436875497440,582
1436875497496,584
1436875497552,585
1436875497608,589
1436875497664,591
1436875497720,596
1436875497776,1023
1436875497832,602
1436875497888,608
1436875497943,611
1436875497999,617
1436875498055,619
1436875498111,1022
1436875498167,626
1436875498223,628
1436875498279,634
1436875498335,637
1436875498391,642
1436875498447,653
1436875498503,658
1436875498559,1023
1436875498615,670
1436875498671,670
1436875498727,666
1436875498783,1022
1436875498839,649
1436875498895,642
1436875498954,635
1436875499010,622
1436875499066,618
1436875499122,612
1436875499178,611
1436875499234,609
1436875499290,606
1436875499346,1023
1436875499402,596
1436875499458,592
1436875499514,588
1436875499570,1022
1436875499626,580
1436875499682,575
1436875499738,573
1436875499794,569
1436875499850,562
1436875499906,557
1436875499956,549
1436875500012,545
1436875500068,541
1436875500124,1022
1436875500180,530
1436875500236,523
1436875500292,519
1436875500348,1023
1436875500404,507
1436875500460,503
1436875500516,495
1436875500572,492
1436875500628,489
1436875500684,483
1436875500740,480
1436875500796,476
1436875500852,473
1436875500908,471
1436875500968,467
1436875501024,466
1436875501080,463
1436875501136,461
1436875501192,460
1436875501248,457
1436875501304,456
1436875501360,1022
1436875501416,453
1436875501472,452
1436875501528,451
1436875501584,1022
1436875501640,449
1436875501696,449
1436875501752,448
1436875501808,448
1436875501864,449
1436875501920,449
1436875501976,449
1436875502032,448
1436875502088,447
1436875502144,1023
1436875502200,446
1436875502256,446
1436875502312,446
1436875502368,1023
1436875502424,448
1436875502480,450
1436875502536,451
1436875502592,1023
1436875502648,454
1436875502704,456
1436875502760,460
1436875502816,1023
1436875502872,466
1436875502928,472
1436875502984,474
1436875503040,479
1436875503096,481
1436875503152,1023
1436875503208,487
1436875503264,489
1436875503320,494
1436875503376,496
1436875503432,499
1436875503488,504
1436875503544,506
1436875503600,1023
1436875503656,514
1436875503712,516
1436875503768,522
1436875503824,525
1436875503880,530
1436875503936,533
1436875503992,536
1436875504048,540
1436875504104,543
1436875504160,548
1436875504216,550
1436875504272,553
1436875504328,558
1436875504384,560
1436875504440,564
1436875504496,566
1436875504552,568
1436875504608,1022
1436875504664,571
1436875504720,573
1436875504776,574
1436875504832,1023
1436875504888,577
1436875504944,578
1436875505000,581
1436875505056,582
1436875505112,584
1436875505168,1023
1436875505224,589
1436875505280,591
1436875505336,592
1436875505392,593
1436875505448,594
1436875505504,595
1436875505560,596
1436875505616,597
1436875505672,598
1436875505728,602
1436875505784,604
1436875505840,1023
1436875505896,608
1436875505952,608
1436875506008,605
1436875506064,602
1436875506120,596
1436875506176,593
1436875506232,590
1436875506288,585
1436875506344,582
1436875506400,576
1436875506456,573
1436875506512,570
1436875506568,563
1436875506624,560
1436875506680,554
1436875506736,551
1436875506792,548
1436875506848,1022
1436875506904,539
1436875506960,533
1436875507016,530
1436875507072,527
1436875507128,520
1436875507184,517
1436875507240,511
1436875507296,508
1436875507352,505
1436875507408,500
1436875507464,497
1436875507520,492
1436875507576,490
1436875507632,1023
1436875507688,482
1436875507744,480
1436875507800,475
1436875507856,473
1436875507912,471
1436875507968,466
1436875508024,464
1436875508080,459
1436875508136,456
1436875508192,1022
1436875508248,451
1436875508304,450
1436875508360,448
1436875508416,448
1436875508472,447
1436875508528,446
1436875508584,446
1436875508640,445
1436875508696,445
1436875508752,444
1436875508808,443
1436875508864,1023
1436875508920,442
1436875508976,442
1436875509032,443
1436875509088,443
1436875509144,444
1436875509200,444
1436875509256,445
1436875509312,445
1436875509368,447
1436875509424,448
1436875509480,451
1436875509536,453
1436875509592,455
1436875509648,460
1436875509704,463
1436875509760,469
1436875509816,472
1436875509872,1022
1436875509928,479
1436875509984,482
1436875510040,485
1436875510096,487
1436875510152,489
1436875510208,492
1436875510264,494
1436875510320,498
1436875510376,500
1436875510432,1023
1436875510488,507
1436875510544,509
1436875510600,512
1436875510656,1022
1436875510712,515
1436875510768,519
1436875510824,521
1436875510880,524
1436875510936,525
1436875510992,527
1436875511048,530
1436875511104,531
1436875511160,534
1436875511216,1023
1436875511272,536
1436875511328,538
1436875511384,539
1436875511440,541
1436875511496,541
1436875511552,542
1436875511608,544
1436875511664,544
1436875511720,546
1436875511776,546
1436875511832,547
1436875511888,1023
1436875511944,547
1436875512000,548
1436875512056,548
1436875512112,548
1436875512168,547
1436875512224,1023
1436875512280,547
1436875512336,546
1436875512392,546
1436875512448,545
1436875512504,545
1436875512560,544
1436875512616,543
1436875512672,541
1436875512728,538
1436875512784,536
1436875512840,532
1436875512896,1022
1436875512952,528
1436875513008,523
1436875513064,521
1436875513120,516
1436875513176,514
1436875513232,1023
1436875513288,503
1436875513344,500
1436875513400,492
1436875513456,489
1436875513512,486
1436875513568,482
1436875513624,481
1436875513680,1022
1436875513736,477
1436875513792,476
1436875513848,473
1436875513904,1023
1436875513960,468
1436875514016,466
1436875514073,464
1436875514129,460
1436875514185,459
1436875514241,457
1436875514297,457
1436875514353,457
1436875514409,457
1436875514465,457
1436875514521,458
1436875514577,458
1436875514633,458
1436875514689,1022
1436875514745,458
1436875514801,457
1436875514857,457
1436875514913,456
1436875514969,456
1436875515025,456
1436875515080,456
1436875515136,456
1436875515192,457
1436875515248,1022
1436875515304,459
1436875515360,460
1436875515416,461
1436875515472,461
1436875515528,464
1436875515584,465
1436875515640,469
1436875515696,1023
1436875515752,473
1436875515808,477
1436875515864,479
1436875515920,1023
1436875515976,484
1436875516032,486
1436875516087,490
1436875516143,492
1436875516199,496
1436875516255,1022
1436875516311,500
1436875516367,503
1436875516423,504
1436875516479,1022
1436875516535,507
1436875516591,509
1436875516647,511
1436875516703,512
1436875516759,514
1436875516815,515
1436875516871,516
1436875516927,1023
1436875516983,521
1436875517039,525
1436875517098,527
1436875517154,529
1436875517210,532
1436875517266,533
1436875517322,534
1436875517378,534
1436875517434,535
1436875517490,536
1436875517546,537
1436875517602,539
1436875517658,540
1436875517714,541
1436875517770,542
1436875517826,542
1436875517882,541
1436875517938,1023
1436875517994,538
1436875518050,536
1436875518101,534
1436875518157,532
1436875518213,531
1436875518269,1022
1436875518325,528
1436875518381,526
1436875518437,521
1436875518493,517
1436875518549,513
1436875518605,506
1436875518661,503
1436875518717,1023
1436875518773,498
1436875518829,498
1436875518885,500
1436875518941,1022
1436875518997,506
1436875519053,507
1436875519112,508
1436875519168,508
1436875519224,507
1436875519280,504
1436875519336,501
1436875519392,499
1436875519448,495
1436875519504,493
1436875519560,491
1436875519616,490
1436875519672,489
1436875519728,1023
1436875519784,486
1436875519840,484
1436875519896,483
1436875519952,1022
1436875520008,481
1436875520064,480
1436875520120,480
1436875520176,480
1436875520232,480
1436875520288,481
1436875520344,481
1436875520400,481
1436875520456,481
1436875520512,481
1436875520568,481
1436875520624,480
1436875520680,480
1436875520736,480
1436875520792,480
1436875520848,481
1436875520904,482
1436875520960,1023
1436875521016,484
1436875521072,484
1436875521128,485
1436875521184,486
1436875521240,487
1436875521296,488
1436875521352,489
1436875521408,493
1436875521464,496
1436875521520,501
1436875521576,505
1436875521632,508
1436875521688,514
1436875521744,517
1436875521800,522
1436875521856,525
1436875521912,527
1436875521968,1023
1436875522024,533
1436875522080,536
1436875522136,538
1436875522192,540
1436875522248,544
1436875522304,1022
1436875522360,550
1436875522416,552
1436875522472,555
1436875522528,560
1436875522584,563
1436875522640,568
1436875522696,571
1436875522752,1022
1436875522808,579
1436875522864,581
1436875522920,585
1436875522976,588
1436875523032,590
1436875523088,594
1436875523144,596
1436875523200,599
1436875523256,600
1436875523312,601
1436875523368,604
1436875523424,605
1436875523480,607
1436875523536,608
1436875523592,609
1436875523648,610
1436875523704,611
1436875523760,612
1436875523816,612
1436875523872,612
1436875523928,613
1436875523984,613
1436875524040,613
1436875524096,612
1436875524152,611
1436875524208,608
1436875524264,606
1436875524320,601
1436875524376,598
1436875524432,595
1436875524488,588
1436875524544,1022
1436875524600,581
1436875524656,579
1436875524712,578
1436875524768,576
1436875524824,575
1436875524880,571
1436875524936,568
1436875524992,565
1436875525048,557
1436875525104,553
1436875525160,544
1436875525216,540
1436875525272,536
1436875525328,529
1436875525384,526
1436875525440,521
1436875525496,518
1436875525552,516
1436875525608,512
1436875525664,510
1436875525720,505
1436875525776,1023
1436875525832,501
1436875525888,497
1436875525944,495
1436875526000,492
1436875526056,490
1436875526112,488
1436875526168,484
1436875526224,482
1436875526280,478
1436875526336,477
1436875526392,475
1436875526448,473
1436875526504,471
1436875526560,469
1436875526616,467
1436875526672,466
1436875526728,464
1436875526784,1023
1436875526840,461
1436875526896,461
1436875526952,460
1436875527008,1023
1436875527064,459
1436875527120,458
1436875527179,457
1436875527235,456
1436875527291,455
1436875527347,1022
1436875527403,454
1436875527459,455
1436875527515,456
1436875527571,1023
1436875527627,462
1436875527683,467
1436875527739,470
1436875527795,473
1436875527851,479
1436875527907,482
1436875527963,488
1436875528019,1023
1436875528075,493
1436875528131,498
1436875528184,500
1436875528240,505
1436875528296,507
1436875528352,509
1436875528408,513
1436875528464,515
1436875528520,518
1436875528576,520
1436875528632,522
1436875528688,525
1436875528744,527
1436875528800,1023
1436875528856,533
1436875528912,535
1436875528968,539
1436875529024,541
1436875529080,546
1436875529136,548
1436875529194,550
1436875529250,553
1436875529306,554
1436875529362,556
1436875529418,557
1436875529474,558
1436875529530,560
1436875529586,560
1436875529642,562
1436875529698,562
1436875529754,563
1436875529810,1023
1436875529866,564
1436875529922,564
1436875529978,564
1436875530034,565
1436875530090,566
1436875530146,566
1436875530201,568
1436875530257,569
1436875530313,571
1436875530369,573
1436875530425,574
1436875530481,575
1436875530537,574
1436875530593,573
1436875530649,569
1436875530705,567
1436875530761,563
1436875530817,560
1436875530873,558
1436875530929,554
1436875530985,553
1436875531041,1022
1436875531097,549
1436875531153,548
1436875531206,546
1436875531262,544
1436875531318,541
1436875531374,1022
1436875531430,536
1436875531486,530
1436875531542,528
1436875531598,1022
1436875531654,520
1436875531710,517
1436875531766,511
1436875531822,1023
1436875531878,501
1436875531934,498
1436875531990,495
1436875532046,1023
1436875532102,489
1436875532158,486
1436875532216,484
1436875532272,483
1436875532328,480
1436875532384,1022
1436875532440,476
1436875532496,474
1436875532552,473
1436875532608,1022
1436875532664,469
1436875532720,466
1436875532776,464
1436875532832,1022
1436875532888,460
1436875532944,458
1436875533000,457
1436875533056,456
1436875533112,456
1436875533168,456
1436875533224,456
1436875533280,456
1436875533336,456
1436875533392,456
1436875533448,457
1436875533504,457
1436875533560,457
1436875533616,457
1436875533672,457
1436875533728,456
1436875533784,456
1436875533840,456
1436875533896,456
1436875533952,457
1436875534008,458
1436875534064,1023
1436875534120,461
1436875534176,463
1436875534232,465
1436875534288,470
1436875534344,474
1436875534400,480
1436875534456,482
1436875534512,485
1436875534568,490
1436875534624,493
1436875534680,498
1436875534736,501
1436875534792,503
1436875534848,509
1436875534904,511
1436875534960,516
1436875535016,518
1436875535072,520
1436875535128,525
1436875535184,527
1436875535240,531
1436875535296,533
1436875535352,535
1436875535408,1022
1436875535464,540
1436875535520,543
1436875535576,545
1436875535632,1022
1436875535688,550
1436875535744,551
1436875535800,554
1436875535856,556
1436875535912,557
1436875535968,559
1436875536024,560
1436875536080,561
1436875536136,562
1436875536192,563
1436875536248,564
1436875536304,564
1436875536360,565
1436875536416,1022
1436875536472,567
1436875536528,571
1436875536584,573
1436875536640,1022
1436875536696,580
1436875536752,582
1436875536808,584
1436875536864,584
1436875536920,583
1436875536976,583
1436875537032,583
1436875537088,1022
1436875537144,581
1436875537200,579
1436875537256,577
1436875537312,575
1436875537368,570
1436875537424,1023
1436875537480,561
1436875537536,558
1436875537592,555
1436875537648,549
1436875537704,546
1436875537760,540
1436875537816,537
1436875537872,1022
1436875537928,529
1436875537984,527
1436875538040,522
1436875538096,520
1436875538152,518
1436875538208,514
1436875538264,512
1436875538320,508
1436875538376,506
1436875538432,1023
1436875538488,499
1436875538544,497
1436875538600,493
1436875538656,1023
1436875538712,490
1436875538768,487
1436875538824,485
1436875538880,1022
1436875538936,480
1436875538992,479
1436875539048,476
1436875539104,1022
1436875539160,471
1436875539216,469
1436875539272,468
1436875539328,464
1436875539384,463
1436875539440,460
1436875539496,459
1436875539552,457
1436875539608,455
1436875539664,1022
1436875539720,453
1436875539776,452
1436875539832,452
1436875539888,452
1436875539944,453
1436875540000,453
1436875540056,453
1436875540112,453
1436875540168,452
1436875540224,452
1436875540280,451
1436875540336,452
1436875540392,452
1436875540448,1022
1436875540504,455
1436875540560,458
1436875540616,459
1436875540672,460
1436875540728,462
1436875540784,464
1436875540840,468
1436875540896,1022
1436875540952,473
1436875541008,479
1436875541064,482
1436875541120,488
1436875541176,490
1436875541232,493
1436875541288,498
1436875541344,501
1436875541400,506
1436875541456,508
1436875541512,510
1436875541568,515
1436875541624,517
1436875541680,521
1436875541736,523
1436875541792,525
1436875541848,529
1436875541904,1023
1436875541960,535
1436875542016,537
1436875542072,538
1436875542128,541
1436875542184,543
1436875542240,546
1436875542296,548
1436875542352,550
1436875542408,553
1436875542464,1023
1436875542520,559
1436875542576,561
1436875542632,563
1436875542688,1022
1436875542744,568
1436875542800,571
1436875542856,572
1436875542912,572
1436875542968,574
1436875543024,574
1436875543080,575
1436875543136,1023
1436875543192,575
1436875543248,576
1436875543304,576
1436875543360,577
1436875543416,576
1436875543472,576
1436875543528,574
1436875543584,573
1436875543640,570
1436875543696,568
1436875543752,566
1436875543808,563
1436875543864,561
1436875543920,1022
1436875543976,556
1436875544032,554
1436875544088,551
1436875544144,549
1436875544200,546
1436875544256,544
1436875544312,542
1436875544368,538
1436875544424,536
1436875544480,1023
1436875544536,529
1436875544592,526
1436875544648,522
1436875544704,520
1436875544760,515
1436875544816,513
1436875544872,511
1436875544928,1022
1436875544984,504
1436875545040,499
1436875545096,496
1436875545152,1022
1436875545208,489
1436875545264,487
1436875545320,483
1436875545376,482
1436875545432,480
1436875545488,476
1436875545544,475
1436875545600,471
1436875545656,470
1436875545712,468
1436875545768,466
1436875545824,464
1436875545880,462
1436875545936,461
1436875545992,460
1436875546048,459
1436875546104,459
1436875546160,1022
1436875546216,458
1436875546272,458
1436875546328,458
1436875546384,458
1436875546440,459
1436875546496,1023
1436875546552,459
1436875546608,459
1436875546664,458
1436875546720,1022
1436875546776,457
1436875546832,457
1436875546888,457
1436875546944,457
1436875547000,458
1436875547056,458
1436875547112,458
1436875547168,1023
1436875547224,460
1436875547280,461
1436875547336,462
1436875547392,463
1436875547448,465
1436875547504,1022
1436875547560,469
1436875547616,471
1436875547672,473
1436875547728,1023
1436875547784,483
1436875547840,490
1436875547896,493
1436875547952,496
1436875548008,501
1436875548064,504
1436875548120,509
1436875548176,1023
1436875548232,513
1436875548288,517
1436875548344,519
1436875548400,522
1436875548456,524
1436875548512,1022
1436875548568,531
1436875548624,534
1436875548680,539
1436875548736,1022
1436875548792,544
1436875548848,549
1436875548904,550
1436875548960,1022
1436875549016,555
1436875549072,557
1436875549128,560
1436875549184,1022
1436875549240,565
1436875549296,567
1436875549352,569
1436875549408,575
1436875549464,579
1436875549520,588
1436875549576,593
1436875549632,597
1436875549688,602
1436875549744,1023
1436875549800,603
1436875549856,602
1436875549912,601
1436875549968,600
1436875550024,600
1436875550080,601
1436875550136,601
1436875550192,1022
1436875550248,602
1436875550304,601
1436875550360,600
1436875550416,599
1436875550472,598
1436875550528,1023
1436875550584,593
1436875550640,589
1436875550696,587
1436875550752,585
1436875550808,579
1436875550864,576
1436875550920,570
1436875550976,1023
1436875551032,564
1436875551088,556
1436875551144,552
1436875551200,545
1436875551256,541
1436875551312,537
1436875551368,531
1436875551424,528
1436875551480,521
1436875551536,1022
1436875551592,514
1436875551648,507
1436875551704,502
1436875551760,493
1436875551816,489
1436875551872,485
1436875551928,480
1436875551984,477
1436875552040,474
1436875552096,472
1436875552152,470
1436875552208,465
1436875552264,462
1436875552320,458
1436875552376,456
1436875552432,454
1436875552488,451
1436875552544,1022
1436875552600,448
1436875552656,447
1436875552712,446
1436875552768,445
1436875552824,444
1436875552880,443
1436875552936,443
1436875552992,1023
1436875553048,443
1436875553104,443
1436875553160,443
1436875553216,1023
1436875553272,442
1436875553328,443
1436875553384,443
1436875553440,443
1436875553496,444
1436875553552,444
1436875553608,445
1436875553664,445
1436875553720,446
1436875553776,1023
1436875553832,447
1436875553888,448
1436875553944,448
1436875554000,449
1436875554056,449
1436875554112,450
1436875554168,452
1436875554224,1022
1436875554280,459
1436875554336,462
1436875554392,466
1436875554448,473
1436875554504,476
1436875554560,1022
1436875554616,484
1436875554672,487
1436875554728,491
1436875554784,493
1436875554840,497
1436875554896,499
1436875554952,501
1436875555008,505
1436875555064,507
1436875555120,512
1436875555176,514
1436875555232,516
1436875555288,521
1436875555344,524
1436875555400,529
1436875555456,531
1436875555512,533
1436875555568,537
1436875555624,539
1436875555680,543
1436875555736,545
1436875555792,1023
1436875555848,550
1436875555904,551
1436875555960,553
1436875556016,1022
1436875556072,554
1436875556128,556
1436875556184,556
1436875556240,1022
1436875556296,559
1436875556352,559
1436875556408,561
1436875556464,561
1436875556520,563
1436875556576,1023
1436875556632,564
1436875556688,565
1436875556744,566
1436875556800,1023
1436875556856,568
1436875556912,568
1436875556968,568
1436875557024,1023
1436875557080,565
1436875557136,563
1436875557192,561
1436875557248,1023
1436875557304,552
1436875557360,546
